id,sample-count,bioproject,secondary-accession,study-abstract,study-name,samples,experiment_type
MGYS00001541,78,PRJNA258387,SRP045568,"Fecal samples attained from 18-27 month old toddlers were pyrosequenced to ascertain the effect of maternal obesity, temperament, and other variables upon the fecal microbiota.",Fecal microbiota of toddlers Metagenome,"SRS688499,SRS688503,SRS688507,SRS688511,SRS688527,SRS688534,SRS688538,SRS688540,SRS688544,SRS688546,SRS688550,SRS688551,SRS688555,SRS688557,SRS688559,SRS688561,SRS688500,SRS688501,SRS688504,SRS688505,SRS688506,SRS688510,SRS688512,SRS688513,SRS688514",amplicon
MGYS00001258,30,PRJNA305094,SRP067039,"Sequencing of targeted genes like frc, but and buk genes from the microbial origin. Amplicons generated from gDNA from stool samples.",Targeted Gene amplicons raw sequence reads,"SRS1195204,SRS1195230,SRS1195231,SRS1195232,SRS1195233,SRS1195234,SRS1195235,SRS1195236,SRS1195237,SRS1195238,SRS1195240,SRS1195243,SRS1195245,SRS1195246,SRS1195247,SRS1195248,SRS1195249,SRS1195250,SRS1195257,SRS1195264,SRS1195265,SRS1195269,SRS1195270,SRS1195272,SRS1195273",amplicon
MGYS00001257,271,PRJNA298590,SRP064846,"The objective of the study was to investigate the efficacy of fresh, frozen or lyophilized fecal microbiota transplantation (FMT) via colonoscopy in patients with recurrent C. difficile associated diarrhea (RCDAD). After a course of oral vancomycin we performed FMT in 36 patients with =3 bouts of RCDAD. FMT products from thoroughly screened healthy donors after filtering stools twice were given as single (non-pooled) product either as fresh, frozen (-80C) or lyophilized. Patients submitted fresh stools pre- and on 7, 14 and 30 days post-FMT. Bacterial DNA was extracted and the V4 region of the 16S rRNA gene was amplified by PCR and amplicons were sequenced on the MiSeq (Illumina) platform. The unique aspects of this study are the comparative efficacy in different patients with recurrent CDI of FMT using the same donor providing either fresh or frozen product, or the successful use of lyophilized FMT products.",Homo sapiens fecal microbiome transplant,"SRS1115212,SRS1115213,SRS1115214,SRS1115215,SRS1115216,SRS1115217,SRS1115218,SRS1115219,SRS1115220,SRS1115221,SRS1115222,SRS1115224,SRS1115225,SRS1115226,SRS1115227,SRS1115228,SRS1115229,SRS1115230,SRS1115231,SRS1115232,SRS1115233,SRS1115234,SRS1115235,SRS1115236,SRS1115237",amplicon
MGYS00001250,118,PRJNA306016,SRP067522,,Metagenome from fecal samples collect from healty human subject during probiotic intervention trial,"SRS1211997,SRS1211998,SRS1211999,SRS1212000,SRS1212001,SRS1212002,SRS1212003,SRS1212004,SRS1212005,SRS1212006,SRS1212007,SRS1212008,SRS1212009,SRS1212010,SRS1212011,SRS1212012,SRS1212013,SRS1212014,SRS1212015,SRS1212016,SRS1212017,SRS1212018,SRS1212019,SRS1212020,SRS1212021",amplicon
MGYS00001249,2,PRJNA302437,SRP066323,Microbiome Analysis of IBS Patients,16s-based microbiome metagenome,"SRS1166863,SRS1168620",amplicon
MGYS00001220,664,PRJNA263853,SRP049113,Characterization of mothers and infants microbiota,Human gut microbiota from the ALADDIN study,"SRS725136,SRS725137,SRS725138,SRS725139,SRS725140,SRS725141,SRS725142,SRS725143,SRS725144,SRS725145,SRS725146,SRS725147,SRS725148,SRS725149,SRS725150,SRS725151,SRS725152,SRS725153,SRS725154,SRS725155,SRS725156,SRS725157,SRS725158,SRS725159,SRS725160",amplicon
MGYS00001213,18,PRJNA318788,SRP073516,This study investigates the transfer of viral populations during human fecal microbiota transplants.,Human Feces Samples Metagenome,"SRS1403834,SRS1403835,SRS1403836,SRS1403837,SRS1403838,SRS1403839,SRS1403840,SRS1403841,SRS1403842,SRS1403843,SRS1403844,SRS1403845,SRS1403846,SRS1403847,SRS1403848,SRS1403849,SRS1403850,SRS1403851",amplicon
MGYS00001212,158,PRJNA324825,SRP076281,,A Longitudinal Study of Pediatric Subjects with Newly Diagnosed Inflammatory Bowel Disease,"SRS1491760,SRS1491762,SRS1491763,SRS1491764,SRS1491765,SRS1491766,SRS1491767,SRS1491768,SRS1491769,SRS1491770,SRS1491771,SRS1491772,SRS1491773,SRS1491774,SRS1491775,SRS1491776,SRS1491777,SRS1491779,SRS1491780,SRS1491781,SRS1491783,SRS1491786,SRS1491788,SRS1491789,SRS1491790",amplicon
MGYS00001210,79,PRJNA323360,SRP077632,Gut microbiome of patients with sleep apnea,Raw sequence reads of human sleep apnea patients gut microbiome,"SRS1531682,SRS1531683,SRS1531684,SRS1531685,SRS1531686,SRS1531687,SRS1531688,SRS1531689,SRS1531690,SRS1531691,SRS1531692,SRS1531693,SRS1531694,SRS1531695,SRS1531696,SRS1531697,SRS1531698,SRS1531699,SRS1531701,SRS1531702,SRS1531703,SRS1531704,SRS1531705,SRS1531706,SRS1531707",amplicon
MGYS00001194,210,PRJNA321051,SRP075039,"The gut microbiome plays an important role in normal immune function and has been implicated in several autoimmune disorders. Here we use high-throughput 16S rRNA sequencing to investigate the gut microbiome in subjects with multiple sclerosis (MS, n=61) and healthy controls (n=43). Alterations in the gut microbiome in MS include increases in the genera Methanobrevibacter and Akkermansia and decreases in Butyricimonas, and correlate with variations in the expression of genes involved in dendritic cell maturation, interferon signaling and NF-kB signaling pathways in circulating T cells and monocytes. Patients on disease-modifying treatment show increased abundances of the genera Prevotella and Sutterella, and decreased Sarcina, compared to untreated patients. MS patients of a second cohort show elevated breath methane compared to controls, consistent with our observation of increased gut Methanobrevibacter in MS in the first cohort. Further study is required to assess whether the observed alterations in the gut microbiome play a role in, or are a consequence of, MS pathogenesis.",Alterations of the human gut microbiome in multiple sclerosis,"SRS1435481,SRS1435483,SRS1435484,SRS1435485,SRS1435486,SRS1435487,SRS1435488,SRS1435489,SRS1435490,SRS1435491,SRS1435492,SRS1435493,SRS1435494,SRS1435495,SRS1435496,SRS1435497,SRS1435498,SRS1435499,SRS1435500,SRS1435501,SRS1435502,SRS1435503,SRS1435504,SRS1435505,SRS1435506",amplicon
MGYS00001190,112,PRJNA317493,SRP073722,"Sample collection from in-patients can be challenging and potentially impacted by collection method variability. We used 16S rRNA-based sequencing to compare the microbiota profiles of variably stored and collected samples. Stool from three different patients were evaluated at different freezing and handling conditions. Additionally, rectal swabs were compared to a stool sample, collected from eight different patients over the course of 24 hours. Storage conditions did not significantly impact the microbial community, and only minor differences were observed between rectal swabs and stool. We conclude that fecal microbial communities did not change substantially after various transport and storage conditions. Rectal swabs are a suitable alternative for assessing the microbiota when fresh stool is not easily obtained.",Comparison of the fecal microbiota during variable collection and storage methods,"SRS1408522,SRS1408523,SRS1408524,SRS1408525,SRS1408526,SRS1408527,SRS1408528,SRS1408529,SRS1408530,SRS1408531,SRS1408532,SRS1408533,SRS1408534,SRS1408535,SRS1408536,SRS1408537,SRS1408538,SRS1408539,SRS1408540,SRS1408541,SRS1408542,SRS1408543,SRS1408544,SRS1408545,SRS1408546",amplicon
MGYS00001071,43,PRJNA276631,SRP055567,,"16S rRNA profiling of ""Allergy"" and ""Healthy"" human faecal samples","SRS859025,SRS860032,SRS860033,SRS860034,SRS860035,SRS860036,SRS860037,SRS860039,SRS860040,SRS860041,SRS860042,SRS860049,SRS860055,SRS860056,SRS860057,SRS860058,SRS860059,SRS860061,SRS860062,SRS860063,SRS860064,SRS860456,SRS860457,SRS860458,SRS860459",amplicon
MGYS00002301,378,PRJNA389280,SRP115812,"We examined the dynamics of microbiome functionality in Inflammatory bowel disease (IBD) by profiling metagenomic and metatranscriptomic sequencing of the human gut microbiome among 100 individuals sampled over a one year period. Here, we present the first results based on the functional analysis of 78 paired metagenomes/metatranscriptomes and 222 additional metagenomes.",Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2),"SRS2472312,SRS2472866,SRS2472218,SRS2472276,SRS2441946,SRS2472314,SRS2441983,SRS2441986,SRS2472304,SRS2472214,SRS2441889,SRS2472320,SRS2441894,SRS2472294,SRS2472315,SRS2472272,SRS2472311,SRS2472270,SRS2472192,SRS2441937,SRS2441968,SRS2472204,SRS2441855,SRS2472236,SRS2472376",amplicon
MGYS00005105,211,PRJNA510835,SRP173959,"Murine studies suggest that the presence of some species of intestinal helminths is associated with changes in host microbiota composition and diversity. Some changes are even found in anatomic locations remote from where these helminths reside and may persist after helminth clearance. However, studies in humans have produced varied conclusions and the impact appears to vary widely depending on the helminth species present. To demonstrate how molecular approaches to the human gut microbiome can provide insights into the complex interplay among disparate organisms, DNA was extracted from cryopreserved stools collected from residents of 5 rural Kenyan villages prior to, 3 weeks and 3 months following albendazole (ALB) therapy. Samples were analyzed by qPCR for the presence of 8 species of intestinal parasites, and by MiSeq 16S rRNA gene sequencing. Based on pre-treatment results, the presence of neither Ascaris lumbricoides (Al) nor Necator americanus (Na) infection significantly altered the overall diversity of the microbiota in comparison with age-matched controls. Following ALB therapy and clearance of soil-transmitted helminths (STH), there were significant increases in the proportion of the microbiota made up by Clostridiales (p=0.0002, average fold change 0.57), and reductions in the proportion made up by Enterobacteriales (p=0.0004, average fold change -0.58). There were additional changes in the microbiota that appear to be related to ALB administration, suggesting that these antimicrobial effects must be considered in any post-treatment setting. Nevertheless, the helminth-associated changes in Clostridiales and Enterobacteriales suggest that clearance of STH, and Na in particular, alters the gut microbiota.  This submission was done on behalf of Thomas B. Nutman (Principal Investigator) and Alice V. Easton.",The impact of anthelmintic treatment on human gut microbiota in western Kenya: Cross-sectional and pre-post deworming comparisons,"SRS4174925,SRS4174926,SRS4174927,SRS4174928,SRS4174929,SRS4174930,SRS4174931,SRS4174932,SRS4174933,SRS4174934,SRS4174935,SRS4174936,SRS4174937,SRS4174938,SRS4174939,SRS4174940,SRS4174941,SRS4174942,SRS4174943,SRS4174944,SRS4174945,SRS4174946,SRS4174947,SRS4174948,SRS4174949",amplicon
MGYS00005086,57,PRJEB33269,ERP116046,The PRJEB27005 Third Party Annotation (TPA) fasta_path was derived from the primary whole genome shotgun (WGS) data set: PRJEB27005.  This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.,EMG produced TPA metagenomics fasta_path of the Gut metagenomes of rural populations in Cameroon (PRJEB27005) data set.,"ERS2539904,ERS2539905,ERS2539906,ERS2539907,ERS2539908,ERS2539909,ERS2539910,ERS2539911,ERS2539912,ERS2539913,ERS2539914,ERS2539915,ERS2539916,ERS2539917,ERS2539918,ERS2539919,ERS2539920,ERS2539921,ERS2539922,ERS2539923,ERS2539924,ERS2539925,ERS2539926,ERS2539927,ERS2539928",amplicon
MGYS00005076,27,PRJEB24522,ERP106351,obesity_all,obesity_all,"ERS2110909,ERS2110910,ERS2110911,ERS2110912,ERS2110913,ERS2110914,ERS2110915,ERS2110916,ERS2110917,ERS2110918,ERS2110919,ERS2110920,ERS2110921,ERS2110922,ERS2110923,ERS2110924,ERS2110925,ERS2110926,ERS2110927,ERS2110928,ERS2110929,ERS2110930,ERS2110931,ERS2110932,ERS2110933",amplicon
MGYS00004728,369,,SRP057027,"Dysbiosis in the human intestines, an alteration in the normal composition of the microbiota, characterizes a wide spectrum of diseases, such as infections, irritable bowel syndrome, Crohn's disease. Dysbiosis has been studied extensively but typically characterized cross-sectionally and as alterations in bacterial taxonomic proportions.  The longitudinal contributions of diet, antibiotic use, and inflammation on the evolution of dysbiosis during therapy for Crohn's disease have not been well characterized. Here we used shot-gun metagenomic sequencing of fecal samples collected from a longitudinal prospective cohort of pediatric Crohn's disease subjects to analyze the representation and gene content of all types of organisms present, including bacteria, fungi, archaea and viruses.  Patients initiated treated with either antibodies directed against tumor necrosis factor alpha or enteral nutrition per the treating physician.  Multivariate analysis showed that microbiome composition was associated with three environmental stressors--intestinal inflammation, antibiotic use, and diet.  Bacterial gene signatures suggested that communities in Crohn's samples were responding to oxidative stress. Antibiotic use was associated with a more dysbiotic composition of the bacterial microbiota as well as a distinctive increase in fungal organisms and human DNA content. In contrast, the abundance of tailed phage and archaea was similar in feces of children with Crohn's disease and healthy controls.  Composition of the bacterial and fungal communities were highly correlated. Dysbiosis in bacterial and fungal communities was reduced in patients with reduction of intestinal inflammation by either therapy. Diet had an independent and rapid effect on gut microbiota composition within one week of initiation. Evidently dysbiosis characteristic of Crohn's disease results in part from inflammation and antibiotic use, and involves correlated changes in bacterial and eukaryotic community members.  Notably, the three stressors were independently associated with different bacteria and different gene pathways, reflecting concurrent disruption of normal homeostasis by multiple mechanisms. Thus, while dysbiosis in general is common to multiple disease states, the nature of the dysbiosis is unique to the environmental stressor.","Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease","SRS899913,SRS899914,SRS899915,SRS899916,SRS899917,SRS899918,SRS899919,SRS899920,SRS899921,SRS899922,SRS899923,SRS899924,SRS899925,SRS899926,SRS899927,SRS899928,SRS899929,SRS899930,SRS899931,SRS899932,SRS899933,SRS899934,SRS899935,SRS899936,SRS899937",amplicon
MGYS00003715,1004,PRJEB25642,ERP107577,"LogMPIE is an observational, multi-center, cross geography and age-group study. The primary objective of the study was to report the microbiome baseline across India. The study reported data from over 1000 subjects. Additionally, for individual subjects, factors such as BMI, lifestyle, dietary habits and gender were recorded.  The study was conducted by Tata Chemicals Limited.",LogMPIE: Landscape Of Gut Microbiome - Pan India Exploration,"ERS2396169,ERS2396170,ERS2396171,ERS2396172,ERS2396173,ERS2396174,ERS2396175,ERS2396176,ERS2396177,ERS2396178,ERS2396179,ERS2396180,ERS2396181,ERS2396182,ERS2396183,ERS2396184,ERS2396185,ERS2396186,ERS2396187,ERS2396188,ERS2396189,ERS2396190,ERS2396191,ERS2396192,ERS2396193",amplicon
MGYS00003712,59,PRJEB17784,ERP019674,"Parkinson's disease (PD) presently is conceptualized as a protein aggregation disease in which pathology involves both, the enteric and the central nervous system, possibly spreading from one to another via the vagus nerves. As gastrointestinal dysfunction often precedes or parallels motor symptoms, the enteric system with its vast diversity of microorganisms may be involved in PD pathogenesis. Alterations in the enteric microbial taxonomic level of L-DOPA-naïve PD patients might also serve as a biomarker.We thus compared the fecal microbiomes of 31 early stage, L-DOPA-naive PD subjects to 28 age matched controls by metagenomic analysis.",The fecal microbiota in L-DOPA naive PD patients,"ERS1647277,ERS1647278,ERS1647279,ERS1647280,ERS1647281,ERS1647282,ERS1647283,ERS1647284,ERS1647285,ERS1647286,ERS1647287,ERS1647288,ERS1647289,ERS1647290,ERS1647291,ERS1647292,ERS1647293,ERS1647294,ERS1647295,ERS1647296,ERS1647297,ERS1647298,ERS1647299,ERS1647300,ERS1647301",amplicon
MGYS00003577,9,PRJEB26162,ERP108135,"The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA298362.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Functional dynamics of the elderly gut microbiome during probiotic consumption (human gut metagenome) data set.,"SRS1133497,SRS1135668,SRS1135680,SRS1135683,SRS1135709,SRS1135723,SRS1135724,SRS1135725,SRS1135768",amplicon
MGYS00003484,29,PRJEB29454,ERP111756,LSA-COMPARE FOOD TRIAL,LSA-COMPARE FOOD TRIAL,"ERS2867710,ERS2867711,ERS2867712,ERS2867713,ERS2867714,ERS2867715,ERS2867716,ERS2867717,ERS2867718,ERS2867720,ERS2867721,ERS2867722,ERS2867723,ERS2867724,ERS2867725,ERS2867727,ERS2867728,ERS2867729,ERS2867730,ERS2867732,ERS2867733,ERS2867734,ERS2867735,ERS2867736,ERS2867737",amplicon
MGYS00003480,24,PRJEB26097,ERP108070,"The gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA243036.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Choice of method for purification of bacterial DNA from faecal material influences community structure as detected by next generation sequencing (gut metagenome) data set.,"SRS589044,SRS591752,SRS591753,SRS591931,SRS591932,SRS591933,SRS591936,SRS591937,SRS591938,SRS591939,SRS591940,SRS591941,SRS591960,SRS591961,SRS591980,SRS591981,SRS591982,SRS591983,SRS591985,SRS591986,SRS591988,SRS591989,SRS591990,SRS591991",amplicon
MGYS00003479,62,PRJEB24818,ERP106673,"The  Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB14038.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Evaluating the Potential of using Next-Generation Sequencing for Direct Clinical Diagnostics of Faecal Samples from Patients with Diarrhoea () data set.,"ERS1261556,ERS1261557,ERS1261558,ERS1261559,ERS1261560,ERS1261561,ERS1261562,ERS1261563,ERS1261564,ERS1261565,ERS1261566,ERS1261568,ERS1261569,ERS1261570,ERS1261571,ERS1261572,ERS1261573,ERS1261574,ERS1261576,ERS1261577,ERS1261578,ERS1261579,ERS1261580,ERS1261581,ERS1261582",amplicon
MGYS00003478,120,PRJEB26277,ERP108251,"The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA305507.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Athlete Microbiome Project (AMP) (human gut metagenome) data set.,"SRS1205177,SRS1205179,SRS1205182,SRS1205183,SRS1205184,SRS1205187,SRS1205190,SRS1205191,SRS1205192,SRS1205193,SRS1205195,SRS1205196,SRS1205197,SRS1205199,SRS1205200,SRS1205201,SRS1205202,SRS1205203,SRS1205204,SRS1205205,SRS1205206,SRS1205207,SRS1205208,SRS1205209,SRS1205210",amplicon
MGYS00003469,260,PRJEB26280,ERP108254,"The IGC Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB5224.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the An integrated catalog of reference genes in the human gut microbiome (IGC) data set.,"ERS396293,ERS396294,ERS396295,ERS396296,ERS396297,ERS396298,ERS396299,ERS396300,ERS396301,ERS396302,ERS396303,ERS396304,ERS396305,ERS396306,ERS396307,ERS396308,ERS396309,ERS396310,ERS396311,ERS396312,ERS396313,ERS396314,ERS396315,ERS396316,ERS396317",amplicon
MGYS00003367,11,PRJEB26833,ERP108860,"The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA311208.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Severe gut microbiota dysbiosis is associated with poor growth in patients with short bowel syndrome (human gut metagenome) data set.,"SRS1283432,SRS1283433,SRS1283434,SRS1283435,SRS1283436,SRS1283440,SRS1283476,SRS1283477,SRS1283522,SRS1283597,SRS1283617",amplicon
MGYS00003346,63,PRJEB26490,ERP108481,"The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA324129.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Human fecal microbiome before and after consumption of AH1206 - Raw sequence reads (human gut metagenome) data set.,"SRS1483393,SRS1489974,SRS1490014,SRS1490016,SRS1490018,SRS1490022,SRS1490042,SRS1490064,SRS1499910,SRS1501559,SRS1531221,SRS1531222,SRS1531223,SRS1531224,SRS1531225,SRS1531226,SRS1531227,SRS1531228,SRS1531229,SRS1531230,SRS1531231,SRS1531232,SRS1531233,SRS1531234,SRS1531235",amplicon
MGYS00003199,3,PRJEB25192,ERP107087,"The SRP012035 Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: SRP012035.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the gut microbiota from an obese human (SRP012035) data set.,"SRS307175,SRS307177,SRS308056",amplicon
MGYS00003148,56,PRJEB28700,ERP110943,A comprehensive analysis of the faecal microbiome and metabolome of Strongyloides stercoralis infected volunteers from a non-endemic area,A comprehensive analysis of the faecal microbiome and metabolome of Strongyloides stercoralis infected volunteers from a non-endemic area,"ERS2750619,ERS2750620,ERS2750621,ERS2750622,ERS2750623,ERS2750624,ERS2750625,ERS2750626,ERS2750627,ERS2750628,ERS2750629,ERS2750630,ERS2750631,ERS2750632,ERS2750633,ERS2750634,ERS2750635,ERS2750636,ERS2750637,ERS2750638,ERS2750639,ERS2750640,ERS2750641,ERS2750642,ERS2750643",amplicon
MGYS00003147,35,PRJEB21999,ERP024316,"Investigations of the impact that patent infections by soil-transmitted gastrointestinal nematode parasites exert on the composition of the host gut commensal flora are attracting growing interest by the scientific community. However, information collected to date varies across experiments, and further studies are needed to identify consistent relationships between parasites and commensal microbial species. Here, we explore the qualitative and quantitative differences between the microbial community profiles of cohorts of human volunteers from Sri Lanka with patent infection by one or more parasitic nematode species (H+), as well as that of uninfected subjects (H-) and of volunteers who had been subjected to regular prophylactic anthelmintic treatment (Ht). High-throughput sequencing of the bacterial 16S rRNA gene, followed by bioinformatics and biostatistical analyses of sequence data revealed no significant differences in alpha diversity (Shannon) and richness between groups (P = 0.65, P = 0.13 respectively); however, beta diversity was significantly increased in H+ and Ht when individually compared to H-volunteers (P = 0.04). Among others, bacteria of the families Verrucomicrobiaceae and Enterobacteriaceae showed a trend towards increased abundance in H+, whereas the Leuconostocaceae and Bacteroidaceae showed a relative increase in H- and Ht respectively. Our findings add valuable knowledge to the vast, and yet little explored, research field of parasite – microbiota interactions and will provide a basis for the elucidation of the role such interactions play in pathogenic and immune-modulatory properties of parasitic nematodes in both human and animal hosts.",Infections by human gastrointestinal helminths are associated with changes in faecal microbiota diversity and composition,"ERS1871537,ERS1871538,ERS1871539,ERS1871540,ERS1871541,ERS1871542,ERS1871543,ERS1871544,ERS1871545,ERS1871546,ERS1871547,ERS1871548,ERS1871549,ERS1871550,ERS1871551,ERS1871552,ERS1871553,ERS1871554,ERS1871555,ERS1871556,ERS1871557,ERS1871558,ERS1871559,ERS1871560,ERS1871561",amplicon
MGYS00003143,12,PRJEB28701,ERP110944,"Diet has been shown to affect microbiome, but effects of diet composition is less clear.We have shown that the relative content of protein, fat and carbohydrate in the diet is key to modulating calorie intake and affects metabolic changes. We wanted to explore the effects on gut microbiome.In this pilot study we selected 6 patients from a larger clinical trial currently underway.Each patient had detailed biometric and dietary data collected, then was changed to a carefully designed, isocaloric diet for 4 weeks.Prior to intervention, all 6 patients were on a normal omnivorous diet.3 patients were changed to an oral high carbohydrate (OHC) diet.3 patients were changed to an oral high fat (OHF) diet.Stool was collected at baseline (BL) and then a second final sample (FL) was collected after 4 weeks of diet change.Stool was stored immediately at 4 degrees, frozen within two hours of collection and stored at -80 degrees Celsius.DNA was extracted from the stool using a QIAGEN, AllPrep PowerFecal DNA/RNA kit.Illumina Sequencing was performed.Project: CAGRF18283Sample Preparation: Illumina TruSeq DNA NanoSequencing: HiSeq Paired End Cluster Kit v4 cBotReads were trimmed for adapters using Trimmomatic v 0.36",Pilot study to compare the effects of high carbohydrate and high fat diets on gut microbiome,"ERS2750675,ERS2750676,ERS2750677,ERS2750678,ERS2750679,ERS2750680,ERS2750681,ERS2750682,ERS2750683,ERS2750684,ERS2750685,ERS2750686",amplicon
MGYS00003135,1,PRJEB1781,ERP002465,"Materials and Methods: We carried out the study in two rural communities 
in Esmeraldas Province, Ecuador. School-age children were screened for 
the presence of STH infections and allocated to one of 3 groups: 
uninfected, T. trichiura only, and mixed infections with T. trichiura 
and Ascaris lumbricoides. A sample of uninfected children and those with 
T. trichiura infections only were treated with albendazole (800 mg/day 
for 3 days) and ivermectin (single dose of 200 ug/kg), and stool samples 
were collected 3 weeks post-treatment. Bacterial DNA was extracted using 
the FastDNA Spin kit for soil, and bacterial community profiles were 
studied by 454 pyrosequencing of 16S rRNA genes. This generated 999,796 
sequences, which were processed and analysed using mothur.

Results: Microbiota analyses were done using stool samples from 97 
children aged 8-14 years of whom 30 were not infected, 17 were infected 
with T. trichiura alone, and 50 had mixed infections with both T. 
trichiura and A. lumbricoides. Post-treatment samples were analyzed for 
14 of the 17 children initially infected with T. trichiura alone and 21 
of 30 uninfected children. Treatment resulted in 100% cure of STH 
infections. Comparisons of the microbiota at different taxonomic levels 
showed no statistically significant differences in composition between 
uninfected children and those with T. trichiura infections. A surprising 
finding was a decreased proportional abundance of a few bacterial genera 
from the clostridia class of Firmicutes, in tandem with a reduced 
overall bacterial diversity, among children with mixed infections 
compared to either uninfected children or those with T. trichiura 
infections only, indicating a specific effect of A. lumbricoides 
infection on intestinal microbiota.  Anthelmintic treatment of children 
with T. trichiura did not appear to alter composition of faecal microbiota.

Discussion: This is the first molecular study to analyse the effect of 
whipworm infection on the human intestinal microbiota. Our data indicate 
that T. trichiura infections alone have no effect on the faecal 
microbiota of children living in endemic communities, but that A. 
lumbricoides colonisation might be associated with a disturbed 
microbiota. Our results also catalogue the microbiota that is present in 
rural Ecuadorians, and indicate that there are differences between this 
cohort and individuals from more urban, industrialised societies.",Human_infections_with_the_whipworm__Trichuris_trichiura__are_not_associated_with_alterations_in_the_faecal_microbiota_,ERS236495,amplicon
MGYS00002961,191,PRJEB28237,ERP110418,"In this study, we used culture enrichment of stools to reveal lower abundance bacteria by high-throughput sequencing. We sequenced fecal bacteria growing under four culture conditions from 24 individuals, before and after use of antibiotics (day 0 and day 7). Overall, 187 species of bacteria had an assembly size greater than 1 million nucleotides, 67 species achieved it only under culture conditions and 22 only in culture-independent fecal microbiomes.The four culture conditions are : (i) MCDA maximum enrichment broth anaerobic culture (MEB-ANA)(ii) MCDA maximum enrichment broth aerobic culture (air enriched with 5% CO2) (MEB-CO2), (iii) MCDA anaerobic culture in presence of 32µg/ml cefoxitin (FOX-ANA)(iv) MCDA aerobic (with 5% CO2) culture in presence of 32µg/ml cefoxitin (FOX-CO2)",Culture-enriched human gut microbiomes reveal core and accessory resistance genes,"ERS2652897,ERS2652898,ERS2652899,ERS2652900,ERS2652901,ERS2652902,ERS2652903,ERS2652904,ERS2652905,ERS2652906,ERS2652907,ERS2652908,ERS2652909,ERS2652910,ERS2652911,ERS2652912,ERS2652913,ERS2652914,ERS2652915,ERS2652916,ERS2652917,ERS2652918,ERS2652919,ERS2652920,ERS2652921",amplicon
MGYS00002690,12,PRJEB24777,ERP106629,"The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA272371.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Infant fecal microbiome related to eczema (human gut metagenome) data set.,"SRS820971,SRS824302,SRS824303,SRS827335,SRS828776,SRS839650,SRS845106,SRS857058,SRS857060,SRS857061,SRS859975,SRS862521",amplicon
MGYS00002687,6,PRJEB24778,ERP106630,"The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA308846.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Human Faecal Samples Raw sequence reads (human gut metagenome) data set.,"SRS1253247,SRS1253248,SRS1253249,SRS1253250,SRS1253251,SRS1253252",amplicon
MGYS00002685,15,PRJEB25193,ERP107088,"The  Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA339012.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the Metagenomics analysis of donor and recepient samples from fecal transplant for Recurrent Clostridium difficile infection () data set.,"SRS1618823,SRS1618824,SRS1618825,SRS1618826,SRS1618827,SRS1618828,SRS1618829,SRS1618830,SRS1618831,SRS1618832,SRS1618833,SRS1618834,SRS1618835,SRS1618836,SRS1618837",amplicon
